path,porosity,dir,tau,t,dimx,dimy,dimz,solver
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section006',	0.451169,	Z_NEG,	1.58522,	165.301,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section007',	0.47058,	X_NEG,	1.46866,	216.441,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section007',	0.47058,	Y_NEG,	1.44856,	251.708,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section007',	0.47058,	Z_NEG,	1.52267,	141.385,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section008',	0.456194,	X_NEG,	1.48217,	222.77,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section008',	0.456194,	Y_NEG,	1.46476,	162.591,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section008',	0.456194,	Z_NEG,	1.56864,	149,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section009',	0.482211,	X_NEG,	1.41772,	208.34,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section009',	0.482211,	Y_NEG,	1.4157,	252.993,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section009',	0.482211,	Z_NEG,	1.50601,	155.065,	316,	316,	158,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section001',	0.582189,	X_NEG,	1.34209,	159.282,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section001',	0.582189,	Y_NEG,	1.33622,	187.43,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section001',	0.582189,	Z_NEG,	1.31514,	115.638,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section002',	0.554386,	X_NEG,	1.35107,	191.369,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section002',	0.554386,	Y_NEG,	1.38274,	190.099,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section002',	0.554386,	Z_NEG,	1.35768,	103.655,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section003',	0.607356,	X_NEG,	1.29457,	178.912,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section003',	0.607356,	Y_NEG,	1.30588,	127.609,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section003',	0.607356,	Z_NEG,	1.3165,	113.35,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section004',	0.5681,	X_NEG,	1.3624,	196.933,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section004',	0.5681,	Y_NEG,	1.33597,	169.671,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section004',	0.5681,	Z_NEG,	1.35532,	102.231,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section005',	0.555147,	X_NEG,	1.38213,	168.626,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section005',	0.555147,	Y_NEG,	1.36305,	124.595,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section005',	0.555147,	Z_NEG,	1.36107,	112.261,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section006',	0.552295,	X_NEG,	1.36495,	175.831,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section006',	0.552295,	Y_NEG,	1.3796,	169.662,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section006',	0.552295,	Z_NEG,	1.33744,	104.266,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section007',	0.564353,	X_NEG,	1.38269,	132.458,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section007',	0.564353,	Y_NEG,	1.36445,	176.795,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section007',	0.564353,	Z_NEG,	1.34288,	107.491,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section008',	0.580296,	X_NEG,	1.3402,	149.069,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section008',	0.580296,	Y_NEG,	1.34959,	167.739,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section008',	0.580296,	Z_NEG,	1.32664,	103.272,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section009',	0.58912,	X_NEG,	1.35262,	134.347,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section009',	0.58912,	Y_NEG,	1.34042,	166.59,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section009',	0.58912,	Z_NEG,	1.30953,	106.371,	316,	316,	124,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section001',	0.501347,	X_NEG,	1.44306,	291.249,	296,	296,	220,	BICGSTABCPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section001',	0.501347,	Y_NEG,	1.43096,	256.198,	296,	296,	220,	BICGSTABCPU
